"x","y","sample number","angle","30:23:03:87:17:98#WIFI-RTT","30:23:03:87:17:99#WIFI-RTT","30:23:03:87:17:9a#WIFI-RTT","58:cb:52:d7:b5:5d#WIFI-RTT","58:cb:52:d7:b5:31#WIFI-RTT","30:23:03:87:19:6e#WIFI-RTT","30:23:03:87:19:6d#WIFI-RTT","58:cb:52:d7:b4:d9#WIFI-RTT","30:23:03:87:19:6c#WIFI-RTT","58:cb:52:d7:bb:61#WIFI-RTT","30:23:03:87:17:80#WIFI-RTT","58:cb:52:d7:ad:ac#WIFI-RTT","30:23:03:87:17:81#WIFI-RTT","30:23:03:87:17:82#WIFI-RTT"
"0.0","0.0","35","0.0","31.47","16.598","16.01","-1.523","5.633","11.503","9.644","17.579","24.144","15.52","20.116","-100.0","6.401","5.853","-100.0"
"0.0","0.0","36","0.0","31.123","16.716","15.931","-1.485","5.589","11.517","9.651","17.701","24.444","15.239","20.698","-100.0","6.298","5.892","-100.0"
"0.0","0.0","37","0.0","31.713","16.685","15.99","-1.635","5.583","11.635","9.623","17.589","24.607","15.226","20.81","-100.0","6.363","5.873","-100.0"
"0.0","0.0","38","0.0","32.173","16.638","15.99","-1.601","5.589","11.547","9.619","17.636","24.757","15.12","20.232","-100.0","6.332","5.863","-100.0"
"0.0","0.0","39","0.0","31.948","16.651","-100.0","-1.56","5.583","11.166","9.46","17.655","25.219","15.401","20.463","-100.0","6.223","5.966","-100.0"
"0.0","0.0","40","0.0","-100.0","16.77","15.931","-1.554","5.586","11.181","9.688","17.626","24.682","15.436","-100.0","-100.0","6.41","5.834","-100.0"
"0.0","0.0","41","0.0","31.601","16.61","16.068","-1.448","5.701","11.254","9.573","17.701","23.67","15.048","20.82","-100.0","6.323","6.01","-100.0"
"0.0","0.0","42","0.0","31.479","16.679","16.107","-1.56","5.551","11.591","9.738","17.664","-100.0","14.929","19.995","-100.0","6.179","6.024","-100.0"
"0.0","0.0","43","0.0","-100.0","16.798","15.892","-1.566","5.583","11.312","9.504","17.558","-100.0","15.342","-100.0","-100.0","6.251","6.029","-100.0"
"0.0","0.0","44","0.0","31.245","16.801","15.932","-1.56","5.589","11.4","9.616","17.636","24.594","14.923","19.92","-100.0","6.301","5.892","-100.0"
