batch,x,y,z,brand,model,angle,sampleNumber,30:23:03:87:17:80#1,30:23:03:87:17:81#1,30:23:03:87:17:82#1,30:23:03:87:17:98#1,30:23:03:87:17:99#1,30:23:03:87:17:9a#1,30:23:03:87:19:6c#1,30:23:03:87:19:6d#1,30:23:03:87:19:6e#1,36:23:03:87:17:80#1,36:23:03:87:17:98#1,36:23:03:87:19:6c#1,58:cb:52:d7:b4:d9#1,58:cb:52:d7:b5:31#1,58:cb:52:d7:b5:5d#1,58:cb:52:d7:bb:61#1
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,10,18.669000000000,7.348000000000,7.357000000000,32.257000000000,16.960000000000,14.740000000000,25.695000000000,8.879000000000,8.412000000000,-100,-100,-100,18.089000000000,3.558000000000,-0.073000000000,16.798000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,11,-100,7.357000000000,7.377000000000,-100,16.907000000000,14.721000000000,-100,8.866000000000,8.471000000000,-100,-100,-100,18.092000000000,3.538000000000,0.036000000000,16.801000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,12,18.982000000000,7.235000000000,7.284000000000,32.569000000000,16.954000000000,14.896000000000,25.620000000000,8.876000000000,8.471000000000,-100,-100,-100,18.301000000000,3.618000000000,0.036000000000,16.729000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,13,18.507000000000,7.154000000000,7.225000000000,31.944000000000,16.888000000000,14.916000000000,25.695000000000,8.904000000000,8.602000000000,-100,-100,-100,18.083000000000,3.557000000000,-0.001000000000,16.679000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,14,18.982000000000,6.997000000000,7.489000000000,-100,16.916000000000,14.916000000000,-100,8.985000000000,8.705000000000,-100,-100,-100,18.489000000000,3.597000000000,0.073000000000,16.739000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,15,19.282000000000,6.885000000000,7.387000000000,32.182000000000,16.804000000000,14.818000000000,26.169000000000,8.947000000000,8.471000000000,-100,-100,-100,18.367000000000,3.636000000000,0.073000000000,16.764000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,16,19.757000000000,7.123000000000,7.357000000000,32.651000000000,16.791000000000,14.857000000000,26.435000000000,8.948000000000,8.602000000000,-100,-100,-100,18.333000000000,3.479000000000,-0.035000000000,16.779000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,17,-100,6.919000000000,7.255000000000,-100,16.954000000000,14.896000000000,-100,8.913000000000,8.544000000000,-100,-100,-100,18.370000000000,3.503000000000,0.083000000000,16.651000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,18,18.588000000000,6.994000000000,7.357000000000,32.407000000000,16.957000000000,14.877000000000,25.857000000000,8.913000000000,8.573000000000,-100,-100,-100,18.226000000000,3.533000000000,-0.073000000000,16.720000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,19,18.669000000000,6.957000000000,7.255000000000,32.882000000000,16.954000000000,14.584000000000,26.019000000000,9.076000000000,8.309000000000,-100,-100,-100,18.126000000000,3.627000000000,-0.001000000000,16.861000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,20,18.345000000000,7.066000000000,7.255000000000,32.107000000000,16.873000000000,14.838000000000,25.707000000000,8.938000000000,8.588000000000,-100,-100,-100,18.051000000000,3.711000000000,-0.035000000000,16.905000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,21,19.607000000000,6.957000000000,7.318000000000,32.257000000000,16.916000000000,14.916000000000,25.857000000000,8.985000000000,8.353000000000,-100,-100,-100,18.170000000000,3.622000000000,-0.123000000000,16.698000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,22,18.832000000000,7.182000000000,7.343000000000,32.094000000000,16.841000000000,14.974000000000,25.545000000000,8.988000000000,8.456000000000,-100,-100,25.857000000000,18.089000000000,3.360000000000,0.042000000000,16.951000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,23,19.144000000000,7.004000000000,7.357000000000,32.419000000000,16.988000000000,14.916000000000,26.319000000000,8.948000000000,8.324000000000,-100,-100,-100,18.048000000000,3.505000000000,0.073000000000,16.798000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,24,18.669000000000,7.035000000000,7.431000000000,31.794000000000,16.926000000000,14.916000000000,25.545000000000,8.907000000000,8.529000000000,-100,-100,-100,18.051000000000,3.515000000000,0.151000000000,16.936000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,25,18.982000000000,6.963000000000,7.240000000000,32.094000000000,16.882000000000,14.857000000000,25.695000000000,8.948000000000,8.544000000000,18.982000000000,-100,-100,18.439000000000,3.508000000000,-0.082000000000,16.905000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,26,18.969000000000,6.960000000000,7.372000000000,31.944000000000,16.804000000000,14.818000000000,25.732000000000,8.957000000000,8.339000000000,-100,32.060000000000,-100,18.289000000000,3.451000000000,0.076000000000,16.867000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,27,-100,7.023000000000,7.299000000000,-100,16.919000000000,14.740000000000,-100,9.019000000000,8.383000000000,-100,-100,-100,18.439000000000,3.393000000000,-100,16.839000000000
00ecbbfc674d9acb63628124675dca47,2.0000,0.0000,0.0000,google,Pixel 3a,0.00,28,19.757000000000,6.882000000000,7.369000000000,32.257000000000,16.794000000000,14.779000000000,26.019000000000,8.876000000000,8.529000000000,19.291000000000,-100,-100,18.226000000000,3.479000000000,0.036000000000,16.764000000000
